wav_path,dataset,file_id,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_pctlrange0-2,loudnessPeaksPerSec,jitterLocal_sma3nz_amean,shimmerLocaldB_sma3nz_amean,HNRdBACF_sma3nz_amean,alphaRatioV_sma3nz_amean,slopeV0-500_sma3nz_amean,slopeV500-1500_sma3nz_amean,equivalentSoundLevel_dBp
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/002-0_patient.wav,Pitt,002-0,0.3064999878406524,0.3936784565448761,33.20026016235352,0.1899054795503616,3.418588638305664,0.2333330065011978,1.211533784866333,0.3115159273147583,1.7809675931930542,0.0159233789891004,1.434273600578308,6.260870456695557,-6.63454008102417,0.0307102147489786,-0.0010498441988602,-27.293581008911133
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/002-1_patient.wav,Pitt,002-1,0.1238805949687957,0.1464195102453231,35.592376708984375,0.229238361120224,9.244617462158203,0.464449942111969,0.8023678660392761,0.5989181995391846,2.0502307415008545,0.0395680926740169,1.565170168876648,4.859134197235107,-8.841291427612305,0.0436055324971675,-0.0140196634456515,-27.268230438232425
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/002-2_patient.wav,Pitt,002-2,0.2589380443096161,0.4527190923690796,33.52616882324219,0.2421426922082901,3.470897674560547,0.2152953892946243,1.48291015625,0.1364411860704422,1.1782032251358032,0.0279431175440549,1.3060681819915771,6.115813732147217,-13.23539924621582,0.01751409471035,-0.0117560839280486,-26.012407302856445
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/002-3_patient.wav,Pitt,002-3,0.1216083914041519,0.1749710738658905,35.240875244140625,0.1458543390035629,7.379886627197266,0.7011262774467468,0.7937806844711304,0.9255387783050536,2.9082140922546387,0.029134253039956,1.226421594619751,7.735556125640869,-17.21149444580078,0.0622306279838085,-0.0307252220809459,-19.86547470092773
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/006-2_patient.wav,Pitt,006-2,0.1393750011920929,0.2107640355825424,25.856203079223636,0.2328716963529586,3.399621963500977,0.7121435403823853,0.6648215055465698,0.8642604351043701,3.0046226978302,0.0211330167949199,1.2566431760787964,4.885110378265381,-13.666183471679688,0.0637739226222038,-0.0245157349854707,-20.540149688720703
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/006-3_patient.wav,Pitt,006-3,0.1570422500371933,0.2434574514627456,26.02980232238769,0.0740319713950157,1.7493667602539062,0.9102330207824708,0.6171351075172424,1.0199949741363523,2.8896918296813965,0.0145161384716629,0.8651654720306396,6.753075122833252,-21.22759246826172,0.0331143587827682,-0.0339157469570636,-15.87057113647461
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/006-4_patient.wav,Pitt,006-4,0.1927333176136016,0.2640021741390228,25.96174430847168,0.1453054398298263,2.107362747192383,0.5133448839187622,0.8093277215957642,0.7721380591392517,2.490788459777832,0.0179469715803861,0.991746723651886,6.603714466094971,-21.83989524841309,0.0236488152295351,-0.0211250260472297,-19.83644294738769
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/013-0_patient.wav,Pitt,013-0,0.3781578838825226,0.3743194043636322,33.259483337402344,0.0995092317461967,1.9013214111328125,0.3719203770160675,1.0770920515060425,0.3386701345443725,1.5447992086410522,0.0305056925863027,1.3942179679870603,6.989800930023193,-15.134492874145508,0.0194140579551458,-0.0248940084129571,-22.14231300354004
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/013-2_patient.wav,Pitt,013-2,0.2123214304447174,0.803107738494873,34.402095794677734,0.1946601569652557,3.79653549194336,0.5269238352775574,0.9691203236579896,0.79817795753479,2.2689075469970703,0.0247053634375333,1.213461995124817,8.0316162109375,-17.52968978881836,0.0361712388694286,-0.0297322254627943,-20.86467933654785
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/013-3_patient.wav,Pitt,013-3,0.1033333241939544,0.1066282913088798,34.18109893798828,0.1197796165943145,3.1745643615722656,0.6586984992027283,0.8048598766326904,1.0264973640441897,3.1726412773132324,0.0156167447566986,1.008684754371643,9.819315910339355,-20.421300888061523,0.0330911427736282,-0.0265383459627628,-17.4527587890625
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/013-4_patient.wav,Pitt,013-4,0.0812499970197677,0.0658478364348411,32.30603790283203,0.0910898670554161,1.6842079162597656,0.647686779499054,0.6559979915618896,0.8187565803527832,3.958242654800415,0.0196574497967958,1.103445291519165,9.306198120117188,-23.40543365478516,0.0380190685391426,-0.0410399921238422,-18.837461471557617
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/015-0_patient.wav,Pitt,015-0,0.176898717880249,0.2534918487071991,34.982120513916016,0.1360264420509338,5.98600959777832,0.406826913356781,1.0149277448654177,0.7181793451309204,2.0570240020751958,0.0265857558697462,1.36012601852417,7.994269371032715,-14.737210273742676,0.0640439465641975,-0.0269925221800804,-22.924983978271484
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/015-1_patient.wav,Pitt,015-1,0.3872727155685425,0.3569909930229187,35.14908981323242,0.1282086074352264,5.906749725341797,0.1162371039390564,1.5770196914672852,0.0388788357377052,0.3582624197006225,0.0237376410514116,1.3211305141448977,5.905770778656006,-8.774858474731445,0.0262522678822278,-0.0064045498147606,-33.41017532348633
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/015-2_patient.wav,Pitt,015-2,0.0977181196212768,0.1707076728343963,36.55049514770508,0.1450501829385757,6.368839263916016,0.6738227605819702,0.7137148380279541,0.7773325443267822,2.499652862548828,0.0271373838186264,1.2669037580490112,7.343970775604248,-13.176687240600586,0.0844462662935257,-0.0271637663245201,-21.318084716796875
/content/drive/MyDrive/asr project/preprocessed_patient_audio/Control/Pitt/wav_patient_only/015-3_patient.wav,Pitt,015-3,0.1069662943482399,0.1164590418338775,33.93999481201172,0.1233850345015525,4.377513885498047,0.749388575553894,0.6674837470054626,0.942447304725647,3.347784280776977,0.0195792708545923,1.0369712114334106,8.923440933227539,-20.40774154663086,0.0745066180825233,-0.0362225696444511,-17.147205352783203
